UNDIRECTED	coref
cat=NOTEXIST,EXIST:exists
114813	paperref:3622	paperref:3898	|
131232	paperref:1601	paperref:1571	|
132508	paperref:3664	paperref:1057	|
77226	paperref:5054	paperref:833	|
86999	paperref:3828	paperref:3857	|
100189	paperref:2662	paperref:3529	|
111151	paperref:3492	paperref:3493	|
87238	paperref:3829	paperref:5094	|
75576	paperref:5326	paperref:4103	|
75710	paperref:1372	paperref:1375	|
89793	paperref:3832	paperref:4805	|	exists=NOTEXIST:P=1.0,0.0
105649	paperref:547	paperref:544	|
87734	paperref:1135	paperref:3831	|
94537	paperref:595	paperref:605	|
133836	paperref:1169	paperref:3776	|
123379	paperref:1311	paperref:4598	|
99832	paperref:3839	paperref:3906	|
94633	paperref:595	paperref:600	|
133046	paperref:2192	paperref:1632	|
118056	paperref:804	paperref:2705	|
86963	paperref:957	paperref:3828	|	exists=NOTEXIST:P=1.0,0.0
79984	paperref:1486	paperref:2268	|
104925	paperref:1749	paperref:1241	|
123704	paperref:3426	paperref:1941	|
89363	paperref:3833	paperref:1699	|
110923	paperref:3423	paperref:1532	|
127505	paperref:4694	paperref:2269	|	exists=NOTEXIST:P=1.0,0.0
122991	paperref:5485	paperref:5297	|
126530	paperref:4746	paperref:2331	|
115183	paperref:5500	paperref:2945	|	exists=NOTEXIST:P=1.0,0.0
103956	paperref:3107	paperref:632	|
131404	paperref:1641	paperref:2701	|	exists=NOTEXIST:P=1.0,0.0
113379	paperref:3663	paperref:3249	|
113679	paperref:4492	paperref:4589	|
84099	paperref:1762	paperref:5568	|
96766	paperref:3836	paperref:4254	|
110373	paperref:1130	paperref:3011	|
102558	paperref:881	paperref:4886	|
128546	paperref:2556	paperref:4261	|
124194	paperref:4890	paperref:1913	|
109008	paperref:3622	paperref:549	|
126265	paperref:827	paperref:2330	|
109014	paperref:549	paperref:654	|	exists=NOTEXIST:P=1.0,0.0
78212	paperref:2744	paperref:585	|	exists=NOTEXIST:P=1.0,0.0
109806	paperref:4980	paperref:4591	|
114760	paperref:4783	paperref:1252	|	exists=NOTEXIST:P=1.0,0.0
126303	paperref:827	paperref:2329	|
122079	paperref:1312	paperref:3246	|
124569	paperref:979	paperref:3710	|
126368	paperref:3869	paperref:1058	|
129755	paperref:2112	paperref:1060	|	exists=NOTEXIST:P=1.0,0.0
94871	paperref:392	paperref:1117	|	exists=NOTEXIST:P=1.0,0.0
102018	paperref:4248	paperref:651	|	exists=NOTEXIST:P=1.0,0.0
106471	paperref:206	paperref:4256	|	exists=NOTEXIST:P=1.0,0.0
91484	paperref:2226	paperref:2058	|
120611	paperref:3243	paperref:754	|	exists=NOTEXIST:P=1.0,0.0
134332	paperref:3574	paperref:3572	|
124505	paperref:2950	paperref:1678	|
77814	paperref:655	paperref:1402	|
76101	paperref:669	paperref:670	|	exists=EXIST:P=0.0,1.0
110957	paperref:1532	paperref:3851	|
128355	paperref:4803	paperref:4797	|
89960	paperref:2309	paperref:4326	|
80403	paperref:1408	paperref:3529	|
79620	paperref:601	paperref:1879	|
104948	paperref:2504	paperref:2501	|
92545	paperref:1414	paperref:1413	|	exists=EXIST:P=0.0,1.0
113372	paperref:3249	paperref:1301	|
94410	paperref:4542	paperref:651	|
89589	paperref:1756	paperref:4244	|
105662	paperref:544	paperref:5269	|
82172	paperref:223	paperref:1478	|
132671	paperref:4190	paperref:1304	|
102891	paperref:3844	paperref:1703	|	exists=NOTEXIST:P=1.0,0.0
90336	paperref:3845	paperref:3831	|
128239	paperref:4899	paperref:576	|
89632	paperref:4000	paperref:5473	|
105227	paperref:317	paperref:561	|	exists=NOTEXIST:P=1.0,0.0
96706	paperref:3900	paperref:3836	|
89567	paperref:1756	paperref:1752	|
91606	paperref:4538	paperref:3900	|	exists=NOTEXIST:P=1.0,0.0
112438	paperref:3138	paperref:2690	|
105095	paperref:316	paperref:1705	|
113853	paperref:3850	paperref:4373	|
96935	paperref:1751	paperref:544	|
99576	paperref:4244	paperref:457	|
77590	paperref:1403	paperref:3849	|
113796	paperref:3850	paperref:2700	|
97379	paperref:646	paperref:3837	|
78901	paperref:2743	paperref:4223	|	exists=NOTEXIST:P=1.0,0.0
95432	paperref:5480	paperref:2005	|
96272	paperref:3609	paperref:5255	|
81197	paperref:4552	paperref:1700	|
117740	paperref:1546	paperref:3665	|
129394	paperref:2708	paperref:2627	|
125442	paperref:4367	paperref:2187	|
81444	paperref:1135	paperref:3617	|
127079	paperref:1250	paperref:3126	|
105755	paperref:1097	paperref:907	|
82180	paperref:223	paperref:591	|	exists=NOTEXIST:P=1.0,0.0
118525	paperref:3423	paperref:1253	|
110956	paperref:1532	paperref:2269	|	exists=NOTEXIST:P=1.0,0.0
108132	paperref:2724	paperref:837	|
122766	paperref:957	paperref:1326	|	exists=NOTEXIST:P=1.0,0.0
86178	paperref:221	paperref:1478	|
132480	paperref:4394	paperref:3551	|
111525	paperref:1533	paperref:4599	|
89936	paperref:5069	paperref:4591	|
84757	paperref:443	paperref:2555	|	exists=NOTEXIST:P=1.0,0.0
117351	paperref:1915	paperref:4359	|
107099	paperref:3329	paperref:3244	|	exists=NOTEXIST:P=1.0,0.0
103289	paperref:643	paperref:3105	|
128510	paperref:419	paperref:5242	|	exists=NOTEXIST:P=1.0,0.0
93731	paperref:1867	paperref:4638	|
115905	paperref:2108	paperref:919	|
82943	paperref:2829	paperref:22	|	exists=NOTEXIST:P=1.0,0.0
134151	paperref:258	paperref:260	|
82969	paperref:1051	paperref:524	|
114445	paperref:4784	paperref:3012	|
77554	paperref:1403	paperref:3835	|	exists=NOTEXIST:P=1.0,0.0
129572	paperref:4261	paperref:2298	|	exists=NOTEXIST:P=1.0,0.0
103118	paperref:3907	paperref:604	|	exists=NOTEXIST:P=1.0,0.0
97017	paperref:3906	paperref:454	|
125431	paperref:1252	paperref:4367	|
101503	paperref:3842	paperref:543	|
102621	paperref:650	paperref:3623	|	exists=NOTEXIST:P=1.0,0.0
121065	paperref:609	paperref:4254	|
97171	paperref:801	paperref:3837	|	exists=NOTEXIST:P=1.0,0.0
118180	paperref:3858	paperref:5116	|
86262	paperref:3907	paperref:3827	|
114988	paperref:1166	paperref:921	|	exists=NOTEXIST:P=1.0,0.0
132707	paperref:1634	paperref:1055	|	exists=NOTEXIST:P=1.0,0.0
131254	paperref:1640	paperref:2110	|	exists=NOTEXIST:P=1.0,0.0
91555	paperref:4538	paperref:4800	|	exists=NOTEXIST:P=1.0,0.0
100894	paperref:3899	paperref:3843	|	exists=NOTEXIST:P=1.0,0.0
98457	paperref:2381	paperref:608	|
122554	paperref:3247	paperref:600	|	exists=NOTEXIST:P=1.0,0.0
121571	paperref:3245	paperref:4262	|
121140	paperref:3244	paperref:1052	|
79109	paperref:429	paperref:930	|	exists=NOTEXIST:P=1.0,0.0
120397	paperref:566	paperref:1187	|
103977	paperref:3850	paperref:3909	|
106917	paperref:3623	paperref:3495	|
79565	paperref:1489	paperref:3834	|
105885	paperref:2507	paperref:4743	|
132770	paperref:955	paperref:2291	|
117996	paperref:3872	paperref:1543	|
106280	paperref:3901	paperref:644	|
96603	paperref:3847	paperref:455	|
81695	paperref:5561	paperref:919	|
88455	paperref:1755	paperref:1137	|	exists=NOTEXIST:P=1.0,0.0
81538	paperref:3617	paperref:452	|
98883	paperref:5464	paperref:5463	|	exists=EXIST:P=0.0,1.0
115506	paperref:1335	paperref:4979	|	exists=NOTEXIST:P=1.0,0.0
81067	paperref:4884	paperref:527	|
117758	paperref:4251	paperref:1546	|
127249	paperref:1713	paperref:1718	|
107282	paperref:205	paperref:1938	|
132280	paperref:1307	paperref:2110	|	exists=NOTEXIST:P=1.0,0.0
133699	paperref:2752	paperref:4825	|
121449	paperref:1329	paperref:608	|
132034	paperref:1635	paperref:1708	|	exists=NOTEXIST:P=1.0,0.0
94887	paperref:3196	paperref:4753	|
108096	paperref:203	paperref:2686	|
89122	paperref:1755	paperref:3497	|
85598	paperref:5645	paperref:3547	|
75804	paperref:3175	paperref:3174	|
95098	paperref:646	paperref:4540	|
