UNDIRECTED	coref
cat=NOTEXIST,EXIST:exists
787415	paperref:652553	paperref:654166	|
748894	paperref:654384	paperref:654386	|
807229	paperref:655390	paperref:652019	|
796486	paperref:654088	paperref:655079	|
793091	paperref:653898	paperref:651968	|
810559	paperref:657700	paperref:653334	|	exists=NOTEXIST:P=1.0,0.0
760833	paperref:652254	paperref:655608	|
752398	paperref:657214	paperref:652277	|	exists=NOTEXIST:P=1.0,0.0
801184	paperref:653102	paperref:652789	|
783843	paperref:654816	paperref:653213	|
780425	paperref:656503	paperref:653067	|
795533	paperref:653923	paperref:654366	|
777590	paperref:655089	paperref:653365	|
763962	paperref:653314	paperref:654326	|
809518	paperref:653967	paperref:655438	|
761022	paperref:654233	paperref:656830	|
773757	paperref:654146	paperref:655052	|
758766	paperref:652937	paperref:653538	|
760688	paperref:654902	paperref:653799	|	exists=NOTEXIST:P=1.0,0.0
800483	paperref:652560	paperref:652170	|
756785	paperref:654763	paperref:655622	|
747954	paperref:656637	paperref:654205	|
781492	paperref:655142	paperref:652804	|
760464	paperref:655922	paperref:653094	|
807709	paperref:656742	paperref:656743	|
795146	paperref:653922	paperref:657399	|	exists=NOTEXIST:P=1.0,0.0
793103	paperref:653898	paperref:655163	|	exists=NOTEXIST:P=1.0,0.0
759485	paperref:654630	paperref:654232	|	exists=NOTEXIST:P=1.0,0.0
804369	paperref:652294	paperref:657230	|
756901	paperref:655916	paperref:655920	|
806287	paperref:656326	paperref:656313	|
778065	paperref:655728	paperref:653800	|
809680	paperref:652379	paperref:652376	|	exists=EXIST:P=0.0,1.0
796604	paperref:654808	paperref:655958	|	exists=NOTEXIST:P=1.0,0.0
775362	paperref:652118	paperref:652377	|
790269	paperref:657497	paperref:654155	|
795851	paperref:654794	paperref:652334	|
771371	paperref:655919	paperref:657348	|
745404	paperref:654550	paperref:652910	|	exists=NOTEXIST:P=1.0,0.0
777681	paperref:654145	paperref:657122	|
753040	paperref:655276	paperref:655450	|
802298	paperref:655846	paperref:655269	|
749939	paperref:652169	paperref:656633	|
809168	paperref:657595	paperref:655041	|
802611	paperref:652227	paperref:655380	|	exists=NOTEXIST:P=1.0,0.0
751950	paperref:654557	paperref:652002	|	exists=NOTEXIST:P=1.0,0.0
747586	paperref:656659	paperref:656896	|
807715	paperref:656742	paperref:655880	|
765355	paperref:657119	paperref:656405	|
769559	paperref:655916	paperref:656540	|	exists=NOTEXIST:P=1.0,0.0
796253	paperref:657722	paperref:654352	|
787101	paperref:657079	paperref:656514	|	exists=NOTEXIST:P=1.0,0.0
767403	paperref:657661	paperref:652040	|	exists=NOTEXIST:P=1.0,0.0
751131	paperref:657080	paperref:654821	|
794614	paperref:652442	paperref:655460	|
770235	paperref:654246	paperref:656660	|	exists=NOTEXIST:P=1.0,0.0
775961	paperref:656351	paperref:656098	|
745583	paperref:655972	paperref:654440	|
771649	paperref:656769	paperref:652463	|
780503	paperref:652583	paperref:654534	|	exists=NOTEXIST:P=1.0,0.0
787382	paperref:652211	paperref:654302	|
813282	paperref:653966	paperref:653034	|
775658	paperref:652417	paperref:653919	|	exists=NOTEXIST:P=1.0,0.0
803057	paperref:652792	paperref:657714	|
781105	paperref:655984	paperref:653028	|
752507	paperref:652447	paperref:652527	|
778111	paperref:657341	paperref:657628	|
750238	paperref:656632	paperref:654845	|
763720	paperref:652486	paperref:654039	|
750300	paperref:653494	paperref:652669	|
767980	paperref:657244	paperref:657447	|	exists=NOTEXIST:P=1.0,0.0
765651	paperref:652561	paperref:655541	|	exists=NOTEXIST:P=1.0,0.0
763764	paperref:655698	paperref:654860	|
798504	paperref:656970	paperref:653024	|
760849	paperref:652254	paperref:652564	|
798444	paperref:657033	paperref:657764	|
755981	paperref:654324	paperref:656446	|
802379	paperref:653131	paperref:653129	|
761624	paperref:657841	paperref:654879	|
809325	paperref:656803	paperref:656804	|
775759	paperref:655214	paperref:657660	|
804022	paperref:657267	paperref:657268	|
799932	paperref:655666	paperref:653058	|
758147	paperref:655921	paperref:657348	|
763446	paperref:654327	paperref:655612	|
806293	paperref:652634	paperref:656421	|	exists=NOTEXIST:P=1.0,0.0
779744	paperref:652925	paperref:654684	|	exists=NOTEXIST:P=1.0,0.0
767457	paperref:652563	paperref:653271	|
749416	paperref:653202	paperref:656093	|
756571	paperref:656180	paperref:655387	|
776008	paperref:656351	paperref:652286	|
783185	paperref:653912	paperref:652566	|
807576	paperref:653944	paperref:653860	|
803785	paperref:656742	paperref:656758	|
777454	paperref:657347	paperref:657807	|
752661	paperref:657103	paperref:656339	|	exists=NOTEXIST:P=1.0,0.0
787271	paperref:654455	paperref:656039	|	exists=NOTEXIST:P=1.0,0.0
803952	paperref:657645	paperref:657648	|
779403	paperref:657415	paperref:653745	|
812470	paperref:656421	paperref:653860	|	exists=NOTEXIST:P=1.0,0.0
813211	paperref:654851	paperref:654850	|
795182	paperref:654576	paperref:653922	|
806710	paperref:655247	paperref:655245	|
747152	paperref:656638	paperref:657628	|
767039	paperref:654068	paperref:652457	|
756023	paperref:656181	paperref:653589	|
780231	paperref:655320	paperref:654206	|
791121	paperref:656515	paperref:653860	|
757583	paperref:657609	paperref:652996	|
794657	paperref:655023	paperref:652130	|
774438	paperref:653390	paperref:653740	|
787784	paperref:653590	paperref:652550	|	exists=NOTEXIST:P=1.0,0.0
753400	paperref:652533	paperref:652515	|
810539	paperref:654925	paperref:653741	|
776874	paperref:655216	paperref:655215	|
751323	paperref:657714	paperref:656174	|
756895	paperref:655920	paperref:655908	|	exists=NOTEXIST:P=1.0,0.0
755472	paperref:653382	paperref:654040	|
806245	paperref:655727	paperref:652497	|
755138	paperref:655467	paperref:656184	|
796499	paperref:652224	paperref:655079	|
748138	paperref:653115	paperref:652933	|	exists=NOTEXIST:P=1.0,0.0
793747	paperref:652132	paperref:655865	|
813041	paperref:653603	paperref:652799	|
756172	paperref:656181	paperref:656660	|
786153	paperref:652912	paperref:652560	|
776954	paperref:652063	paperref:657345	|
778207	paperref:652051	paperref:653234	|
792162	paperref:654844	paperref:655332	|
745637	paperref:652366	paperref:656923	|	exists=NOTEXIST:P=1.0,0.0
808547	paperref:653727	paperref:653538	|
801735	paperref:656008	paperref:652102	|
764943	paperref:655820	paperref:651968	|
783450	paperref:656781	paperref:656765	|	exists=NOTEXIST:P=1.0,0.0
749701	paperref:656376	paperref:653321	|
792169	paperref:655332	paperref:654856	|	exists=NOTEXIST:P=1.0,0.0
754038	paperref:657446	paperref:656182	|
747783	paperref:653387	paperref:655914	|	exists=NOTEXIST:P=1.0,0.0
759850	paperref:652867	paperref:655925	|
749303	paperref:657198	paperref:653075	|
767417	paperref:656404	paperref:652040	|
743851	paperref:653175	paperref:655640	|
801706	paperref:655950	paperref:653134	|
770729	paperref:655295	paperref:657299	|
801035	paperref:653564	paperref:652716	|
748640	paperref:656635	paperref:654621	|
760279	paperref:655622	paperref:656098	|
783058	paperref:653898	paperref:655085	|
784176	paperref:652000	paperref:652277	|
811972	paperref:653958	paperref:655036	|
789359	paperref:653379	paperref:657536	|
779374	paperref:655979	paperref:656745	|
805842	paperref:653034	paperref:652849	|
752029	paperref:657104	paperref:652804	|	exists=NOTEXIST:P=1.0,0.0
804751	paperref:652994	paperref:652993	|
782570	paperref:653344	paperref:652646	|	exists=NOTEXIST:P=1.0,0.0
765897	paperref:657813	paperref:653510	|
804744	paperref:652004	paperref:652003	|
781589	paperref:657626	paperref:653745	|
807899	paperref:657309	paperref:657483	|
791250	paperref:654931	paperref:656514	|	exists=NOTEXIST:P=1.0,0.0
761880	paperref:653771	paperref:655524	|
784757	paperref:657058	paperref:657057	|
753428	paperref:655928	paperref:655510	|	exists=NOTEXIST:P=1.0,0.0
780888	paperref:655985	paperref:655986	|
751012	paperref:654380	paperref:657681	|	exists=NOTEXIST:P=1.0,0.0
804045	paperref:655175	paperref:655177	|	exists=EXIST:P=0.0,1.0
781546	paperref:656670	paperref:657611	|
796406	paperref:653708	paperref:655881	|
773794	paperref:656038	paperref:654245	|
751072	paperref:657080	paperref:652102	|	exists=NOTEXIST:P=1.0,0.0
755592	paperref:652259	paperref:657473	|	exists=NOTEXIST:P=1.0,0.0
761255	paperref:653903	paperref:656353	|
812749	paperref:653266	paperref:656080	|
797805	paperref:653860	paperref:654805	|
808005	paperref:654144	paperref:657363	|
797397	paperref:654806	paperref:655166	|
765867	paperref:652683	paperref:656341	|
806854	paperref:655248	paperref:656530	|
810637	paperref:652822	paperref:653697	|
804550	paperref:655176	paperref:657316	|	exists=NOTEXIST:P=1.0,0.0
743828	paperref:653175	paperref:655862	|
747304	paperref:652347	paperref:654049	|
808820	paperref:654628	paperref:653725	|
785310	paperref:655484	paperref:654107	|
751675	paperref:657081	paperref:653334	|
808239	paperref:652224	paperref:655393	|
752986	paperref:657084	paperref:656454	|	exists=NOTEXIST:P=1.0,0.0
761593	paperref:656830	paperref:655205	|
755997	paperref:655342	paperref:653277	|
778931	paperref:655372	paperref:656678	|
750383	paperref:655131	paperref:653799	|
759364	paperref:656227	paperref:654843	|	exists=NOTEXIST:P=1.0,0.0
784030	paperref:654211	paperref:654210	|
786475	paperref:655732	paperref:656951	|	exists=NOTEXIST:P=1.0,0.0
787076	paperref:657079	paperref:653650	|
808537	paperref:653727	paperref:653534	|
789605	paperref:657499	paperref:655667	|
770642	paperref:657446	paperref:656193	|	exists=NOTEXIST:P=1.0,0.0
754127	paperref:657058	paperref:652667	|
785766	paperref:652272	paperref:655164	|
758782	paperref:655838	paperref:652937	|
794787	paperref:656195	paperref:652575	|
758476	paperref:657540	paperref:652521	|
803976	paperref:653574	paperref:652078	|
790430	paperref:657168	paperref:655336	|
746612	paperref:657858	paperref:655494	|
800904	paperref:657836	paperref:656399	|
799784	paperref:655450	paperref:652226	|
760955	paperref:657545	paperref:655680	|
751772	paperref:657082	paperref:657764	|	exists=NOTEXIST:P=1.0,0.0
770062	paperref:655129	paperref:652170	|	exists=NOTEXIST:P=1.0,0.0
756015	paperref:656181	paperref:653449	|	exists=NOTEXIST:P=1.0,0.0
777863	paperref:656624	paperref:653229	|	exists=NOTEXIST:P=1.0,0.0
794011	paperref:655103	paperref:656008	|	exists=NOTEXIST:P=1.0,0.0
755450	paperref:655927	paperref:656071	|
782321	paperref:654374	paperref:654062	|	exists=NOTEXIST:P=1.0,0.0
808807	paperref:656410	paperref:657252	|
