UNDIRECTED	coref
cat=NOTEXIST,EXIST:exists
466534	paperref:328925	paperref:325254	|
470838	paperref:325199	paperref:323489	|	exists=NOTEXIST:P=1.0,0.0
463345	paperref:325005	paperref:323489	|	exists=NOTEXIST:P=1.0,0.0
448170	paperref:328359	paperref:326091	|	exists=NOTEXIST:P=1.0,0.0
475315	paperref:327748	paperref:328268	|	exists=NOTEXIST:P=1.0,0.0
477740	paperref:326187	paperref:326185	|	exists=EXIST:P=0.0,1.0
414343	paperref:327774	paperref:325814	|	exists=NOTEXIST:P=1.0,0.0
478690	paperref:328684	paperref:326660	|	exists=NOTEXIST:P=1.0,0.0
478539	paperref:324178	paperref:326321	|
458480	paperref:327603	paperref:324708	|
447255	paperref:328946	paperref:327472	|	exists=NOTEXIST:P=1.0,0.0
456975	paperref:326362	paperref:324656	|
477187	paperref:328683	paperref:325677	|
473919	paperref:327153	paperref:327242	|
466929	paperref:327056	paperref:326032	|	exists=NOTEXIST:P=1.0,0.0
432773	paperref:326901	paperref:328544	|	exists=NOTEXIST:P=1.0,0.0
431275	paperref:323682	paperref:329094	|
453308	paperref:325602	paperref:326703	|	exists=NOTEXIST:P=1.0,0.0
423014	paperref:323526	paperref:325809	|	exists=NOTEXIST:P=1.0,0.0
434826	paperref:327441	paperref:328583	|
457130	paperref:326589	paperref:323670	|	exists=NOTEXIST:P=1.0,0.0
459414	paperref:327121	paperref:327120	|	exists=EXIST:P=0.0,1.0
436815	paperref:327190	paperref:326160	|
484809	paperref:324743	paperref:324744	|	exists=EXIST:P=0.0,1.0
453675	paperref:324710	paperref:325797	|	exists=NOTEXIST:P=1.0,0.0
484640	paperref:325990	paperref:325991	|
475949	paperref:326398	paperref:324437	|	exists=NOTEXIST:P=1.0,0.0
443398	paperref:323940	paperref:329033	|	exists=NOTEXIST:P=1.0,0.0
478137	paperref:324880	paperref:327571	|
432608	paperref:327191	paperref:327945	|
479385	paperref:328277	paperref:326446	|	exists=NOTEXIST:P=1.0,0.0
452980	paperref:326090	paperref:327162	|
433255	paperref:324548	paperref:327150	|	exists=NOTEXIST:P=1.0,0.0
426812	paperref:324477	paperref:328215	|	exists=NOTEXIST:P=1.0,0.0
429676	paperref:327396	paperref:326093	|
485058	paperref:327170	paperref:327169	|	exists=EXIST:P=0.0,1.0
468892	paperref:328188	paperref:328191	|
419971	paperref:327883	paperref:326910	|	exists=NOTEXIST:P=1.0,0.0
472711	paperref:323366	paperref:325812	|
434146	paperref:327230	paperref:323877	|
417506	paperref:327073	paperref:326903	|	exists=NOTEXIST:P=1.0,0.0
429144	paperref:325406	paperref:326483	|	exists=NOTEXIST:P=1.0,0.0
421547	paperref:327594	paperref:328447	|	exists=NOTEXIST:P=1.0,0.0
451482	paperref:327530	paperref:325436	|
482164	paperref:325177	paperref:326530	|
468100	paperref:327869	paperref:324842	|
419419	paperref:325526	paperref:324463	|
462193	paperref:326165	paperref:328845	|	exists=NOTEXIST:P=1.0,0.0
463719	paperref:326357	paperref:323756	|
471241	paperref:325768	paperref:324888	|
451760	paperref:324120	paperref:327657	|
421832	paperref:328448	paperref:325964	|	exists=NOTEXIST:P=1.0,0.0
472497	paperref:325445	paperref:324762	|	exists=NOTEXIST:P=1.0,0.0
456707	paperref:324440	paperref:323338	|	exists=NOTEXIST:P=1.0,0.0
484544	paperref:325749	paperref:327582	|
446761	paperref:324975	paperref:327211	|	exists=NOTEXIST:P=1.0,0.0
442640	paperref:324772	paperref:327461	|
458781	paperref:324694	paperref:324267	|
428005	paperref:327287	paperref:326615	|	exists=NOTEXIST:P=1.0,0.0
463539	paperref:323490	paperref:328581	|
463319	paperref:325005	paperref:323402	|	exists=NOTEXIST:P=1.0,0.0
479657	paperref:324930	paperref:327861	|
431521	paperref:327397	paperref:323356	|
479168	paperref:324072	paperref:325689	|	exists=NOTEXIST:P=1.0,0.0
462378	paperref:327095	paperref:325719	|
447741	paperref:326525	paperref:323880	|	exists=NOTEXIST:P=1.0,0.0
485480	paperref:324914	paperref:327587	|	exists=NOTEXIST:P=1.0,0.0
446557	paperref:328350	paperref:324409	|	exists=NOTEXIST:P=1.0,0.0
445893	paperref:323403	paperref:324619	|	exists=NOTEXIST:P=1.0,0.0
419212	paperref:325155	paperref:324970	|
439185	paperref:327896	paperref:323783	|	exists=NOTEXIST:P=1.0,0.0
447857	paperref:323698	paperref:323495	|	exists=NOTEXIST:P=1.0,0.0
483757	paperref:325394	paperref:325535	|	exists=NOTEXIST:P=1.0,0.0
439941	paperref:324887	paperref:326903	|	exists=NOTEXIST:P=1.0,0.0
451275	paperref:328998	paperref:328598	|	exists=NOTEXIST:P=1.0,0.0
478431	paperref:323590	paperref:326661	|	exists=NOTEXIST:P=1.0,0.0
475072	paperref:327658	paperref:325448	|
420202	paperref:325905	paperref:325156	|
485670	paperref:328662	paperref:327238	|
482221	paperref:326858	paperref:324083	|
448271	paperref:326857	paperref:327267	|	exists=NOTEXIST:P=1.0,0.0
421044	paperref:326286	paperref:326682	|
446245	paperref:324616	paperref:328770	|	exists=NOTEXIST:P=1.0,0.0
446847	paperref:324799	paperref:325928	|
467757	paperref:326607	paperref:324084	|	exists=NOTEXIST:P=1.0,0.0
462885	paperref:328583	paperref:326511	|
414520	paperref:327455	paperref:325198	|	exists=NOTEXIST:P=1.0,0.0
455666	paperref:325865	paperref:325527	|	exists=NOTEXIST:P=1.0,0.0
447425	paperref:326546	paperref:326409	|
443304	paperref:325177	paperref:325525	|	exists=NOTEXIST:P=1.0,0.0
452966	paperref:326090	paperref:324885	|
422975	paperref:323526	paperref:325811	|	exists=NOTEXIST:P=1.0,0.0
